company,state,ticker,exchange,profit,debt,assets,ipo_date,ipo_fees,ipo_price,ipo_amount,industry
Ikanos Communications Inc,California,IKAN,Nasdaq,-6.5,1.2,110.9,25/06/2004,10.125,12,76.8,IT
Global Cash Access Holdings Inc,Nevada,GCA,New York,99.1,0,248.4,22/03/2005,7.625,14,224.898198,Finance
Sunesis Pharmaceuticals Inc,California,SNSS,Nasdaq,-23,1.4,31.9,23/12/2004,11.167,7,42,Chemical
Global Partners LP,Massachusetts,GLP,New York,0,162.3,377.7,10/05/2005,9.429,22,107.8,Oil
Taleo Corp,California,TLEO,Nasdaq,2.7,17.5,53.1,31/03/2004,10.625,14,93.8,IT
Avalon Pharmaceuticals Inc,Maryland,AVRX,Nasdaq,0,0,24.4,3/05/2005,12.195,10.5,28.875,Agriculture
American Commercial Lines LLC,Indiana,ACLI,Nasdaq,0,200.1,656.9,19/07/2005,8.446,21,173.25,Transport
TAL International Group Inc,New York,TAL,New York,0,820.2,1353.8,30/06/2005,8.468,18,207,Machinery
PokerTek Inc,North Carolina,PTEK,Nasdaq,0,0,2.3,4/08/2005,9.259,11,22,IT
Cogdell Spencer Inc,North Carolina,CSA,New York,0,144.9,177.6,10/08/2005,9.915,17,98.6,Finance
Hercules Offshore Inc,Texas,HERO,Nasdaq,0,93.3,266.1,8/07/2005,7.567,20,184,Oil
Boardwalk Pipeline Partners LP,Texas,BWP,New York,236.9,1101.3,2438.4,16/08/2005,6.821,19.5,292.5,Oil
iROBOT Corp,Massachusetts,,Nasdaq,1.8,0,119.4,27/07/2005,8.685,24,103.2,Machinery
IHS Inc,Colorado,IHS,New York,79.3,0,743,4/02/2005,8.809,16,232.24,IT
Dover Saddlery Inc,Massachusetts,DOVR,Nasdaq,0,8.3,30.7,26/08/2005,10.091,10,27.5,Transport
Under Armour Inc,Maryland,UA,Nasdaq,38.1,4.6,144.8,26/08/2005,8.269,13,157.612,Clothes
Brookdale Senior Living Inc,Tennessee,BKD,New York,0,754.2,1471.9,9/08/2005,9.316,19,210.368,Health
Basic Energy Services Inc,Texas,BAS,New York,0,119.2,426.6,12/08/2005,7.091,20,250,Oil
DealerTrack Holdings Inc,New York,TRAK,Nasdaq,0,0.4,138,27/07/2005,7.921,17,170,IT
BCB Bancorp Inc,New Jersey,BCBP,Nasdaq,7.8,54.1,398.1,9/09/2005,9.401,15.25,16.775,Finance
Somaxon Pharmaceuticals Inc,California,SOMX,Nasdaq,-13.6,0,108.4,7/10/2005,10.455,11,55,Chemical
Emergency Medical Services Corp,Ohio,EMS,New York,121.8,495.5,996.9,2/08/2005,10.968,14,113.4,Transport
Spansion Inc,California,SPSN,Nasdaq,0,526.1,2754.8,13/04/2005,6.811,12,506.4,Machinery
LINN Energy LLC,Texas,LINE,Nasdaq,-41.9,158.8,279.5,3/06/2005,9.563,21,246.75,Oil
Western Refining Inc,Texas,,New York,216.1,0,643.6,27/09/2005,7.161,17,382.5,Oil
Calumet Specialty Products Partners LP,Indiana,CLMT,Nasdaq,0,64.1,399.7,7/10/2005,8.612,21.5,137.5460995,Oil
Koppers Holdings Inc,Pennsylvania,KOP,New York,0,428.2,513.7,12/09/2005,2.339,14,140,Timber
SGX Pharmaceuticals Inc,California,SGXP,Nasdaq,-23.8,0,33.3,2/09/2005,15.333,6,24,Agriculture
HealthSpring Inc,Tennessee,HS,New York,66.9,0,591.8,11/10/2005,2.457,19.5,366.6,Health
Smart Modular Technologies (WWH)Inc,California,SMOD,Nasdaq,0,125,334.9,19/10/2005,8.1,9,163.636362,Machinery
Resource Capital Corp,New York,RSO,New York,54,1793.5,2045.5,11/07/2005,10.167,15,60,Finance
Crocs Inc,Colorado,CROX,Nasdaq,30.2,1.1,76.9,15/08/2005,7.712,21,207.9,Clothes
EXCO Resources Inc,Texas,XCO,New York,-91.9,569.6,2288.3,23/11/2005,5.531,13,650,Oil
Morton's Restaurant Group Inc,Illinois,MRT,New York,24.7,51.9,282.6,1/12/2005,8.719,17,160.905,Restaurant
